Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Appalachian Trail Climb,61518377,44.219831,-71.411119,44.22155,-71.407116
Forest Route Nm528B Climb,61738657,36.742638,-118.955257,36.737307,-118.946649
Bergstraße Climb,61745673,51.313836,8.489857,51.314924,8.483185
Hochstraße Climb,61745676,51.190364,8.339834,51.190724,8.354189
Winterseite Climb,61745676,51.197935,8.399118,51.193411,8.404768
Rockbound Lake Trail Climb,61748288,51.269358,-115.919322,51.27338,-115.908666
Miette Road Climb,61748289,53.202971,-117.923761,53.194097,-117.903796
Rockbound Lake Trail Climb,61748288,51.27163,-115.913504,51.281495,-115.916357
Miette Road Climb,61748289,53.195586,-117.90455,53.183881,-117.882003
Hives Climb,62088734,50.135342,5.5736,50.131967,5.566106
Landwasserstrasse Climb,62088796,46.709499,9.755374,46.706876,9.752917
Segment,62090071,36.240726,137.965091,36.254525,137.96487
Beachy Head Road Climb,62096546,50.741031,0.232097,50.741745,0.241832
Glencoe Bunkhouses Climb,62124847,56.663512,-5.056166,56.668613,-5.055295
Poppelmondeweg Climb,62126332,50.820852,5.688466,50.82387,5.678363
Sint Maartensweg Climb,62127305,51.738885,5.93926,51.740481,5.931442
Unnamed Road Climb,62130758,37.663855,-112.145014,37.664771,-112.151372
Val du Pierreux Climb,62270056,50.182006,5.575581,50.192802,5.585328
Val du Pierreux Climb,62270056,50.192717,5.587853,50.196811,5.592015
Samrée Climb,62270056,50.203067,5.607592,50.202436,5.621761
Hameau de Borzée Climb,62270056,50.190915,5.641677,50.18883,5.639096
Engreux Climb,62270056,50.115283,5.67793,50.113239,5.685035
Engreux Climb,62270056,50.11468,5.683486,50.119733,5.694043
Rue de la Roche Climb,62270056,50.134521,5.745933,50.131205,5.752629
Rue de la Roche Climb,62270056,50.130514,5.758938,50.129407,5.766741
Ermitage Climb,62270056,50.130302,5.792025,50.126992,5.797265
Cetturu Climb,62270056,50.127218,5.830628,50.12781,5.836963
Cetturu Climb,62270056,50.121979,5.846065,50.119802,5.860296
Kwade Hoek,61738609,51.829131,3.93007,51.83674,3.981755
Dijk Het Flaauwe Werk,61504620,51.825209,3.917993,51.819047,3.882994
Grevelingendijk bij Ouddorp-Haven,61504620,51.79615,3.908022,51.798481,3.933686
Voetpad langs Portland,72430792,51.860349,4.460821,51.847368,4.486079
Aanloop Heinenoordtunnel Barendrecht,72678855,51.84378,4.516456,51.838729,4.515224
MTB route Oostvoornse meer,62267345,51.933282,4.084229,51.927051,4.043437
Geerlaan - Reyeroord,121817876,51.859998,4.591422,51.878394,4.564878
Decathlon Crêtes de Spa,125007520,50.497143,5.891186,50.498347,5.891573
Val du Pierreux,127550779,50.182572,5.575562,50.200908,5.60001
La Roche - Val du Pierreux,132218932,50.181818,5.577412,50.206236,5.60898
La Roche - Hives,131961547,50.173965,5.578047,50.164889,5.574189
Brouwersdam - Grevelingendam,150462158,51.784623,3.869929,51.741171,3.824456
K78 Kesch-hütte,61518376,46.67093,9.690069,46.645187,9.875083
Aanloop Netkous,167242467,51.860702,4.471958,51.861032,4.464683
Netkous totaal,167242467,51.860714,4.471769,51.862538,4.465159
Heinenoordtunnel noord-zuid,194989810,51.83861,4.515435,51.827121,4.508085
Heinenoordtunnel zuid-noord,194989810,51.827114,4.508135,51.838593,4.515339
Harbour run 2014,206437287,51.879312,4.448014,51.878864,4.448853
Half rondje geluidswal,282275118,51.86286,4.50928,51.864346,4.509942
Half rondje geluidswal (2),273533486,51.862925,4.509232,51.864302,4.508761
Het Flaauwe Werk bovenlangs,667398922,51.822696,3.889019,51.825105,3.91763
Coopertestpad terug,810863274,51.817759,3.982962,51.829234,4.006365
